"","USA1","USA2","USA3","USA4","USA5","USA6","USA7","USA8","NAM1","NAM2","NAM3","NAM4","NAM5","NAM6","NAM7","NAM8"
"ASV152",0,0,0,2,0,0,1,0,3,0,8,0,1,3,2,3
"ASV23",186,77,95,155,11,70,5,21,4,17,7,23,53,19,51,6
"ASV292",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV128",4,0,1,19,47,9,0,1,0,0,0,0,0,0,0,0
"ASV147",0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,4
"ASV70",18,23,27,10,0,0,58,31,0,0,0,0,0,0,0,0
"ASV41",0,1,2,1,0,0,2,5,0,18,14,1,30,0,107,0
"ASV6",2,39,2,43,5,5,2,2,499,5,47,73,25,284,25,218
"ASV112",0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,4
"ASV16",19,0,66,36,0,0,0,5,75,21,13,53,13,116,50,79
"ASV176",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
"ASV104",0,0,0,0,0,0,0,0,16,0,0,3,0,8,0,11
"ASV68",0,0,0,0,0,0,0,0,4,4,6,13,2,3,6,65
"ASV12",14,26,47,114,7,5,46,62,2,104,42,6,79,124,140,5
"ASV207",0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
"ASV317",0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0
"ASV388",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV397",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV165",0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0
"ASV213",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"ASV26",124,22,6,22,369,0,0,82,63,0,24,0,1,86,1,0
"ASV258",0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0
"ASV76",159,3,0,1,0,33,0,15,2,0,1,22,0,0,0,0
"ASV19",16,12,1,2,0,48,14,11,0,10,175,124,28,3,23,9
"ASV72",0,0,0,0,0,0,0,0,0,0,14,32,13,3,0,7
"ASV230",0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0
"ASV143",0,0,0,0,0,10,5,12,0,0,0,0,0,0,0,0
"ASV69",3,0,0,0,0,20,0,56,4,0,6,21,2,1,0,0
"ASV288",0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"ASV106",0,0,0,0,0,17,0,22,0,0,0,0,0,0,0,0
"ASV5",90,242,0,13,36,489,2,619,400,34,37,2,2,0,28,4
"ASV105",0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,0
"ASV119",0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,0
"ASV240",7,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0
"ASV282",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"ASV94",0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV269",4,3,1,0,4,5,0,1,0,0,0,0,0,0,0,0
"ASV202",0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0
"ASV394",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
"ASV110",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,20
"ASV251",0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
"ASV127",7,7,0,1,10,2,1,0,0,0,0,0,0,0,0,0
"ASV24",0,0,0,0,0,0,0,0,40,30,13,77,27,56,72,38
"ASV79",14,48,32,27,2,13,2,0,0,0,0,1,3,2,1,0
"ASV407",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASV312",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"ASV204",0,0,0,0,26,0,3,0,0,0,0,0,0,0,0,0
"ASV310",0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0
"ASV275",0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
"ASV293",5,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0
"ASV37",36,78,6,29,6,25,1,0,0,15,7,0,26,13,116,0
"ASV271",0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0
"ASV46",0,0,3,0,0,0,8,118,30,4,11,41,2,2,0,30
"ASV86",0,0,0,0,0,0,0,0,0,0,10,29,0,0,0,22
"ASV294",0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
"ASV111",16,11,1,0,61,8,0,11,0,0,0,0,0,0,0,0
"ASV141",0,0,0,0,52,8,0,0,0,0,0,0,0,0,0,0
"ASV36",48,35,0,0,0,14,55,45,0,5,97,52,18,7,2,0
"ASV181",0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0
"ASV62",0,0,0,0,0,0,0,0,0,25,66,0,74,0,0,0
"ASV21",0,0,0,0,0,0,0,0,0,0,177,0,377,32,20,0
"ASV209",0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0
"ASV190",0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0
"ASV38",0,0,0,0,0,0,0,0,0,0,83,0,185,17,12,0
"ASV247",0,0,0,0,0,0,0,0,0,0,5,0,10,0,1,0
"ASV75",0,0,0,0,0,0,0,0,0,32,0,16,7,5,8,14
"ASV3",0,0,0,0,0,0,0,0,0,1129,2,428,186,201,203,655
"ASV80",0,0,0,0,0,0,0,0,0,38,0,17,0,9,4,28
"ASV45",0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,103
"ASV166",0,113,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"ASV150",0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0
"ASV8",0,0,0,0,0,0,0,0,44,203,41,60,0,206,216,103
"ASV155",0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0
"ASV114",0,0,0,0,0,0,0,0,0,0,8,14,21,2,0,2
"ASV47",32,0,23,138,15,2,11,12,16,41,5,5,0,1,31,8
"ASV238",0,0,0,0,0,0,0,0,0,4,0,0,3,2,1,0
"ASV221",0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0
"ASV31",84,135,17,98,6,40,45,16,2,1,63,32,82,22,31,16
"ASV192",0,0,0,0,0,0,0,0,0,7,0,6,6,0,0,2
"ASV309",0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
"ASV385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV142",0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,7
"ASV255",0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
"ASV15",9,16,9,3,0,3,24,13,45,50,38,28,84,104,94,90
"ASV289",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"ASV237",4,0,0,4,0,0,0,0,0,4,1,1,5,0,0,0
"ASV146",0,0,0,1,10,0,0,0,5,0,0,8,0,1,1,1
"ASV242",0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
"ASV174",26,0,3,0,0,0,4,2,0,0,0,0,0,0,2,0
"ASV287",0,0,1,7,0,1,0,0,0,4,0,0,0,0,0,0
"ASV170",0,0,10,48,0,0,0,0,0,0,0,0,0,0,0,0
"ASV82",0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,5
"ASV14",0,0,214,95,315,4,0,102,209,1,3,0,2,0,3,3
"ASV59",0,0,23,32,34,0,0,0,47,0,1,0,0,0,0,52
"ASV369",0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
"ASV43",0,0,0,0,0,0,0,0,132,28,0,7,1,2,3,35
"ASV58",0,0,92,168,89,0,0,0,0,0,0,0,0,0,0,0
"ASV95",0,0,33,47,24,0,0,0,0,0,0,0,0,0,0,0
"ASV134",0,0,10,0,52,0,0,0,0,0,0,0,0,0,0,0
"ASV197",0,0,0,0,27,5,0,0,0,0,0,0,0,0,0,0
"ASV77",22,0,4,59,0,59,0,0,0,0,0,0,0,0,0,0
"ASV67",5,0,3,37,149,20,0,3,1,0,3,0,2,0,0,39
"ASV138",1,0,0,8,24,8,0,0,0,0,1,0,0,0,0,4
"ASV97",16,0,2,9,48,16,0,2,2,0,1,0,1,0,4,2
"ASV158",0,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0
"ASV34",69,29,14,56,305,49,0,1,4,6,10,0,7,3,33,24
"ASV121",0,4,33,5,5,0,0,0,0,0,0,0,0,0,0,0
"ASV100",0,0,0,0,7,4,0,0,0,0,0,0,0,7,21,0
"ASV4",103,41,73,90,401,103,8,1,36,117,123,18,64,112,689,87
"ASV60",0,0,141,0,26,0,0,0,0,0,0,0,0,0,0,0
"ASV51",0,0,0,0,0,0,0,0,145,9,0,0,0,0,0,20
"ASV65",0,0,0,0,0,0,0,0,0,0,0,0,37,0,26,0
"ASV129",0,0,0,0,0,0,0,0,0,4,17,2,10,0,2,0
"ASV64",0,0,0,0,0,0,0,0,14,0,13,13,27,13,9,46
"ASV27",0,0,0,0,0,0,0,0,87,0,0,0,0,0,5,292
"ASV125",0,0,0,0,0,0,0,0,4,0,0,0,5,4,1,16
"ASV42",53,0,4,14,0,36,15,11,7,0,110,29,0,10,0,2
"ASV227",3,4,0,1,3,0,0,0,0,4,3,0,2,0,0,0
